"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
105,1,16455.91699,37191.28281,145.02047,205.7123,5.79957,0.31499,15.265
106,1,16642.90169,41076.6565,179.80637,275.26523,7.63267,0.6185,17.04184
107,1,16713.32253,56628.07907,160.95066,183.22611,8.58895,1.17582,21.0213
108,1,16986.03269,62064.74211,192.03053,186.89474,7.27128,0.46844,21.99643
109,1,17084.86108,69277.79522,169.89448,278.56875,7.12233,0.66574,16.06077
110,1,17219.6993,77970.72994,247.85708,247.66587,7.18208,0.75033,26.49722
111,1,17410.16505,20586.60749,188.0481,709.2025,7.55345,4.05793,15.48709
112,1,17354.23801,55744.94775,188.33637,488.25059,12.36433,1.00244,13.75357
113,1,17501.27428,17351.77474,157.02264,231.5107,6.90226,0.62232,16.25579
114,1,17563.05052,23649.53224,138.64129,293.77468,6.01603,0.65613,12.61844
115,1,17633.64112,26399.56926,157.39959,190.40143,6.02781,0.45998,17.65847
116,1,17747.14054,58989.9803,197.42351,227.88237,8.66729,0.59802,20.84086
117,1,17990.33989,5988.13873,150.70237,95.33075,4.1545,0.26762,23.565
118,1,18455.02549,13360.84967,137.44821,203.92482,5.84643,0.56825,15.05882
119,1,18477.80232,47158.22577,155.54455,709.54462,9.25046,1.50583,9.53893
120,1,18400.68726,69777.91554,210.39469,100.158,7.80853,0.34634,33.16915
121,1,18444.69197,72127.49658,202.11803,738.6905,13.72659,1.58939,12.58462
122,1,18873.15125,53912.9124,204.99973,282.30448,9.36137,0.87149,20.26464
123,1,18704.10913,72908.31472,283.3569,351.36772,8.03743,3.18059,42.61327
124,1,19002.32619,11672.00014,151.79053,133.64921,5.01021,0.41106,20.40651
125,1,18884.55264,27045.99034,166.53795,232.79609,6.79833,0.53991,17.01332
126,1,18991.0864,60449.92887,203.22949,255.83821,9.32878,0.71157,20.60355
127,1,19139.85557,2498.66763,148.69295,509.9193,7.59889,4.01215,14.18805
128,1,18967.13397,55546.38424,253.47762,800.52791,10.37774,7.35591,31.40411
129,1,19113.58257,78873.6764,218.89514,74.75616,5.89779,0.23261,39.09942
130,1,19414.0581,17694.42225,137.13253,352.51239,6.60452,0.64237,11.29949
131,1,19586.39646,69445.22313,190.13804,92.79242,7.68955,0.57217,33.20656
132,1,19774.8402,13884.38901,256.89494,488.42819,5.0242,6.54904,45.46336
133,1,19976.63528,29665.67547,175.30089,190.84427,6.17098,0.44011,19.64928
134,1,19876.86182,45103.25929,178.37789,179.26777,6.75901,0.44577,20.72223
135,1,20293.85729,3443.5559,126.59704,164.73337,6.49257,2.06704,19.64717
136,1,20398.54489,14680.31179,121.9354,226.71108,9.08599,5.17178,22.32372
137,1,20405.51507,66939.57301,163.22149,335.21487,7.48601,0.61925,13.83254
138,1,20395.53917,73895.83296,175.59778,659.49548,9.87051,1.4747,11.32757
139,1,20375.04759,79835.84634,241.42693,75.87789,5.0574,0.21428,42.73785
140,1,20566.32041,70027.38503,186.89603,110.33154,8.83549,0.59373,29.61902
141,1,20720.2702,7468.96628,147.81693,121.73772,4.33776,0.32782,20.55004
142,1,20682.19764,49855.25999,181.40037,296.82249,8.0979,0.72845,16.79128
143,1,20936.62653,5166.51953,136.57965,180.93242,4.87148,0.54009,15.89566
144,1,20902.11782,55775.08738,185.82741,162.00419,9.19974,0.49928,23.13024
145,1,20842.96589,69069.99384,164.82804,236.10711,7.91811,0.89396,17.68714
146,1,21312.5088,61196.07068,188.02003,81.95261,7.53012,0.36606,33.04482
147,1,21892.34763,42539.43019,189.17168,330.69897,7.69984,0.79334,16.70944
148,1,21938.90602,15881.28507,153.16928,170.23029,5.31284,0.51598,18.41508
149,1,22176.0179,56654.01997,166.68465,711.10808,11.09005,1.37698,10.14688
150,1,22177.40633,71237.2789,207.2872,149.21488,7.55886,0.4299,26.79081
151,1,22698.98477,22816.65085,153.69959,1257.16363,10.59483,4.46496,8.35998
152,1,22581.45607,59840.29609,179.13349,1150.50411,17.24383,4.66183,10.93661
153,1,22632.35266,79532.62404,216.11468,76.0116,5.54844,0.30187,39.19748
154,1,22748.547,26046.22228,147.0556,622.68914,8.51376,1.55081,9.70904
155,1,22824.23058,34017.29187,145.34801,367.74286,6.59663,0.78878,11.90881
156,1,22918.9782,74711.17754,235.5672,112.70003,5.80429,0.36041,35.28094
157,1,23224.04114,27201.47087,169.46373,159.65452,7.222,0.47613,21.04124
158,1,23215.51098,80515.26446,169.28917,100.32303,5.4236,0.30801,26.06514
